Event;SetupID;DecisionTime;StepFrom;StepTo;Direction;Bid;Ask;SpreadPoints;ATR;ATRPct100;ATRRegime;ADX;DIPlus;DIMinus;RSI;MACDHist;EMA200DistATR;EMA200Slope5ATR;FloatingPnLNoCost;OpenPositions;BasketBE;Session;OpenHour;Mode;Rule;FillPrice;FillTime
P;20;2014.01.22 01:03:32;1;2;BUY;1242.08;1242.42;34.0;0.34;0.027172;1.9286;28.5592;20.4692;40.1773;33.7787;-0.112206;-1.0367;0.004932;-1.65;2;0.00;Asia;1;0;M0;0.00;
F;20;2014.01.22 01:03:32;1;2;BUY;1242.08;1242.42;34.0;0.34;0.027172;1.9286;28.5592;20.4692;40.1773;33.7787;-0.112206;-1.0367;0.004932;-1.65;2;1242.43;Asia;1;0;M0;1242.42;2014.01.22 01:03:32
A;21;2014.01.22 05:23:07;0;1;BUY;1242.37;1242.66;28.6;0.11;0.008693;0.5517;19.6501;24.3604;13.4360;48.0889;0.030606;-2.9006;-0.040607;0.00;0;0.00;Asia;5;0;NONE;0.00;
A;21;2014.01.22 05:44:08;1;2;BUY;1241.81;1242.12;30.8;0.18;0.014294;0.7978;38.1339;6.7544;28.3255;32.3303;-0.061129;-4.5849;-0.032110;-0.85;1;0.00;Asia;5;0;NONE;0.00;
P;21;2014.01.22 05:44:08;1;2;BUY;1241.81;1242.12;30.8;0.18;0.014294;0.7978;38.1339;6.7544;28.3255;32.3303;-0.061129;-4.5849;-0.032110;-1.47;2;0.00;Asia;5;0;M0;0.00;
F;21;2014.01.22 05:44:08;1;2;BUY;1241.81;1242.12;30.8;0.18;0.014294;0.7978;38.1339;6.7544;28.3255;32.3303;-0.061129;-4.5849;-0.032110;-1.47;2;1242.11;Asia;5;0;M0;1242.12;2014.01.22 05:44:08
A;21;2014.01.22 06:10:44;2;3;BUY;1240.56;1240.86;29.8;0.35;0.028274;2.0724;46.1281;5.9270;46.3750;16.7391;-0.153448;-5.4467;-0.029920;-5.22;2;1242.11;Asia;6;0;NONE;0.00;
P;21;2014.01.22 06:10:44;2;3;BUY;1240.56;1240.86;29.8;0.35;0.028274;2.0724;46.1281;5.9270;46.3750;16.7391;-0.153448;-5.4467;-0.029920;-6.11;3;1242.11;Asia;6;0;M0;0.00;
F;21;2014.01.22 06:10:44;2;3;BUY;1240.56;1240.86;29.8;0.35;0.028274;2.0724;46.1281;5.9270;46.3750;16.7391;-0.153448;-5.4467;-0.029920;-6.11;3;1241.35;Asia;6;0;M0;1240.86;2014.01.22 06:10:44
A;22;2014.01.22 07:50:01;0;1;SELL;1241.38;1241.73;34.4;0.21;0.016514;0.6721;28.2576;27.3020;19.8036;57.3191;-0.009639;0.9815;0.015624;0.00;0;0.00;London;7;0;NONE;0.00;
A;23;2014.01.22 10:56:06;0;1;SELL;1239.91;1240.24;32.5;0.16;0.012743;0.7633;38.8779;19.3685;14.8773;56.8479;-0.004743;0.6469;0.011183;0.00;0;0.00;London;10;0;NONE;0.00;
A;23;2014.01.22 11:13:05;1;2;SELL;1240.54;1240.90;35.4;0.15;0.012031;0.6838;27.2921;37.0093;13.2006;65.6547;0.044937;4.5117;0.033907;-0.99;1;0.00;London;11;0;NONE;0.00;
P;23;2014.01.22 11:13:05;1;2;SELL;1240.54;1240.90;35.4;0.15;0.012031;0.6838;27.2921;37.0093;13.2006;65.6547;0.044937;4.5117;0.033907;-1.70;2;0.00;London;11;0;M0;0.00;
F;23;2014.01.22 11:13:05;1;2;SELL;1240.54;1240.90;35.4;0.15;0.012031;0.6838;27.2921;37.0093;13.2006;65.6547;0.044937;4.5117;0.033907;-1.70;2;1240.57;London;11;0;M0;1240.54;2014.01.22 11:13:05
A;23;2014.01.22 12:46:35;2;3;SELL;1242.05;1242.37;32.2;0.35;0.027817;1.3112;29.6738;38.4489;15.0650;66.9352;0.044321;4.2329;0.031377;-6.12;2;1240.57;Overlap;12;0;NONE;0.00;
P;23;2014.01.22 12:46:35;2;3;SELL;1242.05;1242.37;32.2;0.35;0.027817;1.3112;29.6738;38.4489;15.0650;66.9352;0.044321;4.2329;0.031377;-7.09;3;1240.57;Overlap;12;0;M0;0.00;
F;23;2014.01.22 12:46:35;2;3;SELL;1242.05;1242.37;32.2;0.35;0.027817;1.3112;29.6738;38.4489;15.0650;66.9352;0.044321;4.2329;0.031377;-7.09;3;1241.46;Overlap;12;0;M0;1242.05;2014.01.22 12:46:35
A;24;2014.01.22 16:19:00;0;1;SELL;1240.79;1241.13;33.5;0.19;0.015373;1.1337;27.7705;14.0225;18.4368;55.5375;-0.071010;1.5406;0.022237;0.00;0;0.00;NewYork;16;0;NONE;0.00;
A;25;2014.01.22 20:47:01;0;1;BUY;1237.73;1238.06;32.6;0.24;0.019491;0.9087;50.4979;11.3362;19.5790;37.2221;0.044035;-6.2021;-0.065373;0.00;0;0.00;NewYork;20;0;NONE;0.00;
A;25;2014.01.22 20:52:21;1;2;BUY;1236.67;1237.03;36.0;0.36;0.029353;1.3321;58.6837;5.5428;39.8347;20.9476;-0.065802;-6.7761;-0.055997;-1.39;1;0.00;NewYork;20;0;NONE;0.00;
P;25;2014.01.22 20:52:21;1;2;BUY;1236.67;1237.03;36.0;0.36;0.029353;1.3321;58.6837;5.5428;39.8347;20.9476;-0.065802;-6.7761;-0.055997;-2.11;2;0.00;NewYork;20;0;M0;0.00;
F;25;2014.01.22 20:52:21;1;2;BUY;1236.67;1237.03;36.0;0.36;0.029353;1.3321;58.6837;5.5428;39.8347;20.9476;-0.065802;-6.7761;-0.055997;-2.11;2;1237.15;NewYork;20;0;M0;1237.03;2014.01.22 20:52:21
A;25;2014.01.23 00:07:13;2;3;BUY;1234.65;1235.00;34.8;0.71;0.057648;4.5698;37.6848;7.8692;46.8026;9.9834;-0.298679;-3.7640;-0.025182;-12.97;2;1237.15;Asia;0;0;NONE;0.00;
P;25;2014.01.23 00:07:13;2;3;BUY;1234.65;1235.00;34.8;0.71;0.057648;4.5698;37.6848;7.8692;46.8026;9.9834;-0.298679;-3.7640;-0.025182;-14.01;3;1237.15;Asia;0;0;M0;0.00;
F;25;2014.01.23 00:07:13;2;3;BUY;1234.65;1235.00;34.8;0.71;0.057648;4.5698;37.6848;7.8692;46.8026;9.9834;-0.298679;-3.7640;-0.025182;-14.01;3;1235.91;Asia;0;0;M0;1235.00;2014.01.23 00:07:13
A;26;2014.01.24 07:13:00;0;1;BUY;1258.98;1259.30;32.1;0.19;0.015131;0.8004;29.6344;19.4921;13.8862;51.7372;0.091312;-4.5274;-0.055947;0.00;0;0.00;London;7;0;NONE;0.00;
A;26;2014.01.24 07:58:27;1;2;BUY;1257.54;1257.86;31.5;0.27;0.021192;0.7991;29.6576;10.4199;35.5553;32.0002;-0.023057;-7.5037;-0.057246;-1.75;1;0.00;London;7;0;NONE;0.00;
P;26;2014.01.24 07:58:27;1;2;BUY;1257.54;1257.86;31.5;0.27;0.021192;0.7991;29.6576;10.4199;35.5553;32.0002;-0.023057;-7.5037;-0.057246;-2.38;2;0.00;London;7;0;M0;0.00;
F;26;2014.01.24 07:58:27;1;2;BUY;1257.54;1257.86;31.5;0.27;0.021192;0.7991;29.6576;10.4199;35.5553;32.0002;-0.023057;-7.5037;-0.057246;-2.38;2;1258.13;London;7;0;M0;1257.86;2014.01.24 07:58:27
A;27;2014.01.27 06:41:02;0;1;BUY;1269.34;1269.73;38.7;0.24;0.019006;0.9208;54.6726;16.5098;25.6618;40.7813;0.092319;-8.2868;-0.094807;0.00;0;0.00;Asia;6;0;NONE;0.00;
