sep=,
Group,Side,TF,Indicator,N,Mean,Median,Q25,Q75,Min,Max
SETUP_STOP,ALL,M15,ADX,383,32.424896,30.027949,23.067195,38.989556,12.993218,75.727303
SETUP_STOP,ALL,M15,CCI,383,-101.001585,-141.226335,-198.625787,-13.800613,-444.832311,460.089673
SETUP_STOP,ALL,M15,DI_PLUS,383,14.050174,11.790192,8.284558,18.050458,1.792282,43.832227
SETUP_STOP,ALL,M15,DI_MINUS,383,25.367266,26.314937,19.464209,32.236928,1.436306,46.035746
SETUP_STOP,ALL,M15,DI_GAP,383,17.345221,16.998897,9.087749,23.860791,0.011596,40.437981
SETUP_STOP,ALL,M15,ATR,383,5.595768,2.861750,1.377625,7.039125,0.410000,46.938000
SETUP_STOP,ALL,M15,ATR_PCT_PRICE,383,0.188925,0.140033,0.089255,0.248571,0.025814,1.036911
SETUP_STOP,ALL,M15,EMA200_DIST_POINTS,383,2311.385628,953.791110,423.359705,2256.691218,3.074140,37114.917457
SETUP_STOP,ALL,M15,EMA200_DIST_ATR,383,-1.257895,-1.997742,-4.633066,1.478729,-14.596478,22.714642
SETUP_STOP,ALL,M30,RSI,383,41.540591,39.970807,30.469436,50.425939,7.388724,86.370149
SETUP_STOP,ALL,M30,ADX,383,32.294917,29.021304,22.572697,38.724067,11.828949,75.143723
SETUP_STOP,ALL,M30,CCI,383,-90.079263,-125.377245,-188.621565,4.753418,-401.030960,405.107159
SETUP_STOP,ALL,M30,DI_PLUS,383,14.144590,12.772692,8.178813,18.389236,1.231115,44.898264
SETUP_STOP,ALL,M30,DI_MINUS,383,24.141006,25.040951,18.234820,30.986605,2.795562,43.250407
SETUP_STOP,ALL,M30,DI_GAP,383,15.870075,15.311659,7.674512,22.564516,0.051849,40.472092
SETUP_STOP,ALL,M30,ATR,383,7.373619,3.811250,1.882500,8.811250,0.705000,80.369250
SETUP_STOP,ALL,M30,ATR_PCT_PRICE,383,0.248535,0.181977,0.120732,0.305984,0.046815,1.735756
SETUP_STOP,ALL,M30,EMA200_DIST_POINTS,383,3019.413286,1332.997088,561.313670,2860.110214,6.193672,44750.927222
SETUP_STOP,ALL,M30,EMA200_DIST_ATR,383,-0.829631,-1.168254,-4.814766,2.540844,-19.280914,24.473387
SETUP_STOP,ALL,H1,RSI,383,43.335580,42.909062,33.371258,51.315319,8.332642,78.643192
SETUP_STOP,ALL,H1,ADX,383,30.650506,28.757424,22.119627,36.625586,9.981282,77.345545
SETUP_STOP,ALL,H1,CCI,383,-79.726329,-104.217933,-174.879069,15.050623,-384.317687,294.023134
SETUP_STOP,ALL,H1,DI_PLUS,383,14.733226,13.051071,9.888076,18.120434,2.256454,44.671722
SETUP_STOP,ALL,H1,DI_MINUS,383,22.837398,23.492347,15.843618,28.768998,4.789705,44.602461
SETUP_STOP,ALL,H1,DI_GAP,383,14.261588,13.544983,6.468366,20.833004,0.002920,41.716917
SETUP_STOP,ALL,H1,ATR,383,9.992967,4.987500,2.705500,11.454125,0.847750,149.765000
SETUP_STOP,ALL,H1,ATR_PCT_PRICE,383,0.333701,0.259377,0.178447,0.378535,0.068104,3.234515
SETUP_STOP,ALL,H1,EMA200_DIST_POINTS,383,3983.519873,1745.191374,831.561169,3981.832344,0.284519,48792.421407
SETUP_STOP,ALL,H1,EMA200_DIST_ATR,383,-0.554392,0.043662,-4.898950,3.516985,-15.527422,13.198103
SETUP_STOP,ALL,H4,RSI,378,46.453352,46.764682,36.597372,55.793161,10.416686,83.987652
SETUP_STOP,ALL,H4,ADX,378,29.281830,27.350433,21.315274,35.478789,10.946815,64.826878
SETUP_STOP,ALL,H4,CCI,378,-38.354346,-36.235238,-131.763173,40.774754,-340.041631,306.199274
SETUP_STOP,ALL,H4,DI_PLUS,378,16.164730,15.212600,11.366998,20.698636,1.872096,33.386573
SETUP_STOP,ALL,H4,DI_MINUS,378,20.238758,19.068833,13.874592,25.876160,4.164351,50.113185
SETUP_STOP,ALL,H4,DI_GAP,378,11.416711,9.432407,4.944648,16.935815,0.050035,42.513753
SETUP_STOP,ALL,H4,ATR,378,19.558448,9.026625,4.792250,24.616875,1.958750,236.049000
SETUP_STOP,ALL,H4,ATR_PCT_PRICE,378,0.621336,0.469037,0.303253,0.730867,0.136208,5.034332
SETUP_STOP,ALL,H4,EMA200_DIST_POINTS,378,7557.763725,3630.139482,1410.555266,9131.047590,9.541926,73598.699004
SETUP_STOP,ALL,H4,EMA200_DIST_ATR,378,0.277668,0.369227,-3.410036,4.197454,-13.458563,19.108330
SETUP_STOP,BUY,M1,RSI,328,30.359274,27.644959,21.662206,35.769775,4.751411,80.813131
SETUP_STOP,BUY,M1,ADX,328,36.800388,33.357371,25.280086,47.550379,14.096593,89.058620
SETUP_STOP,BUY,M1,CCI,328,-146.535965,-169.004303,-224.550403,-107.538994,-466.666667,281.504760
SETUP_STOP,BUY,M1,DI_PLUS,328,12.114237,11.110010,6.805449,16.395523,0.894981,37.376396
SETUP_STOP,BUY,M1,DI_MINUS,328,32.253488,33.289281,25.715547,39.283989,6.387880,58.632991
