Direction,TF,Feature,Outcome,N_total,N_complete,N_missing,N_zero,Median,Q1,Q3,IQR,Min,Max
BUY,M5,EMA20Slope5ATR,NON-STOP,3538,3538,0,0,-0.082909,-0.154558,-0.007540,0.147018,-0.910532,0.520357
BUY,M5,EMA20Slope5ATR,TARGET,3255,3255,0,0,-0.082787,-0.154688,-0.007496,0.147192,-0.797992,0.520357
BUY,M5,EMA20Slope5ATR,BE,282,282,0,0,-0.087010,-0.151061,-0.012687,0.138374,-0.910532,0.336143
BUY,M5,EMA20Slope5ATR,OTHER_NONSTOP,1,1,0,0,0.004171,0.004171,0.004171,0.000000,0.004171,0.004171
BUY,M5,EMA50Slope5ATR,STOP,75,75,0,0,-0.013443,-0.074986,0.042340,0.117326,-0.259451,0.162579
BUY,M5,EMA50Slope5ATR,NON-STOP,3538,3538,0,0,-0.029693,-0.082424,0.024204,0.106628,-0.557350,0.553743
BUY,M5,EMA50Slope5ATR,TARGET,3255,3255,0,0,-0.029854,-0.081998,0.023929,0.105927,-0.557350,0.553743
BUY,M5,EMA50Slope5ATR,BE,282,282,0,0,-0.028160,-0.085472,0.031480,0.116952,-0.425097,0.442133
BUY,M5,EMA50Slope5ATR,OTHER_NONSTOP,1,1,0,0,0.000084,0.000084,0.000084,0.000000,0.000084,0.000084
BUY,M5,EMA200Slope5ATR,STOP,75,75,0,0,-0.003832,-0.027808,0.024170,0.051977,-0.159888,0.186798
BUY,M5,EMA200Slope5ATR,NON-STOP,3538,3538,0,0,-0.001236,-0.030679,0.031210,0.061889,-0.283459,0.377777
BUY,M5,EMA200Slope5ATR,TARGET,3255,3255,0,0,-0.000884,-0.029358,0.031286,0.060643,-0.283459,0.377777
BUY,M5,EMA200Slope5ATR,BE,282,282,0,0,-0.005830,-0.046894,0.030604,0.077498,-0.260620,0.347351
BUY,M5,EMA200Slope5ATR,OTHER_NONSTOP,1,1,0,0,-0.011659,-0.011659,-0.011659,0.000000,-0.011659,-0.011659
BUY,M5,EMAGap2050ATR,STOP,75,75,0,0,-0.016567,-0.868866,0.889846,1.758711,-4.344907,3.201133
BUY,M5,EMAGap2050ATR,NON-STOP,3538,3538,0,0,-0.067014,-0.787129,0.702534,1.489663,-6.939749,10.236425
BUY,M5,EMAGap2050ATR,TARGET,3255,3255,0,0,-0.067065,-0.773278,0.693745,1.467022,-6.939749,9.165104
BUY,M5,EMAGap2050ATR,BE,282,282,0,0,-0.067102,-0.977668,0.818624,1.796292,-5.361168,10.236425
BUY,M5,EMAGap2050ATR,OTHER_NONSTOP,1,1,0,0,-0.026076,-0.026076,-0.026076,0.000000,-0.026076,-0.026076
BUY,M5,EMAGap50200ATR,STOP,75,75,0,0,0.265577,-1.544380,2.072204,3.616584,-9.751284,16.308284
BUY,M5,EMAGap50200ATR,NON-STOP,3538,3538,0,0,0.521911,-1.612924,2.999917,4.612841,-25.633725,34.157191
BUY,M5,EMAGap50200ATR,TARGET,3255,3255,0,0,0.545806,-1.529120,3.024971,4.554090,-25.633725,34.157191
BUY,M5,EMAGap50200ATR,BE,282,282,0,0,0.131714,-2.820956,2.841080,5.662036,-21.310237,26.456898
BUY,M5,EMAGap50200ATR,OTHER_NONSTOP,1,1,0,0,-1.136776,-1.136776,-1.136776,0.000000,-1.136776,-1.136776
BUY,M5,EMACompressionATR,STOP,75,75,0,0,2.553173,1.164734,4.154388,2.989655,0.157504,18.639110
BUY,M5,EMACompressionATR,NON-STOP,3538,3538,0,0,3.030507,1.591477,5.524105,3.932628,0.072471,37.100653
BUY,M5,EMACompressionATR,TARGET,3255,3255,0,0,2.992889,1.573172,5.453534,3.880362,0.072471,37.100653
BUY,M5,EMACompressionATR,BE,282,282,0,0,3.653552,1.833285,6.094880,4.261595,0.310675,34.120345
BUY,M5,EMACompressionATR,OTHER_NONSTOP,1,1,0,0,1.162851,1.162851,1.162851,0.000000,1.162851,1.162851
