Direction,TF,Feature,Outcome,Value,N_total,N_complete,N_missing,Count,Pct_of_all_group,Pct_of_nonmissing
BUY,M30,EMAOrder,BE,E100>E200>E50>E20,282,281,1,11,3.900709,3.914591
BUY,M30,EMAOrder,BE,E100>E20>E200>E50,282,281,1,0,0.000000,0.000000
BUY,M30,EMAOrder,BE,E100>E20>E50>E200,282,281,1,0,0.000000,0.000000
BUY,M30,EMAOrder,BE,E100>E50>E200>E20,282,281,1,4,1.418440,1.423488
BUY,M30,EMAOrder,BE,E100>E50>E20>E200,282,281,1,6,2.127660,2.135231
BUY,M30,EMAOrder,BE,E200>E100>E20>E50,282,281,1,16,5.673759,5.693950
BUY,M30,EMAOrder,BE,E200>E100>E50>E20,282,281,1,79,28.014184,28.113879
BUY,M30,EMAOrder,BE,E200>E20>E100>E50,282,281,1,7,2.482270,2.491103
BUY,M30,EMAOrder,BE,E200>E20>E50>E100,282,281,1,6,2.127660,2.135231
BUY,M30,EMAOrder,BE,E200>E50>E100>E20,282,281,1,1,0.354610,0.355872
BUY,M30,EMAOrder,BE,E200>E50>E20>E100,282,281,1,1,0.354610,0.355872
BUY,M30,EMAOrder,BE,E20>E100>E200>E50,282,281,1,2,0.709220,0.711744
BUY,M30,EMAOrder,BE,E20>E100>E50>E200,282,281,1,1,0.354610,0.355872
BUY,M30,EMAOrder,BE,E20>E200>E100>E50,282,281,1,1,0.354610,0.355872
BUY,M30,EMAOrder,BE,E20>E200>E50>E100,282,281,1,15,5.319149,5.338078
BUY,M30,EMAOrder,BE,E20>E50>E100>E200,282,281,1,94,33.333333,33.451957
BUY,M30,EMAOrder,BE,E20>E50>E200>E100,282,281,1,4,1.418440,1.423488
BUY,M30,EMAOrder,BE,E50>E100>E200>E20,282,281,1,1,0.354610,0.355872
BUY,M30,EMAOrder,BE,E50>E100>E20>E200,282,281,1,15,5.319149,5.338078
BUY,M30,EMAOrder,BE,E50>E200>E100>E20,282,281,1,0,0.000000,0.000000
BUY,M30,EMAOrder,BE,E50>E20>E100>E200,282,281,1,17,6.028369,6.049822
BUY,M30,EMAOrder,BE,E50>E20>E200>E100,282,281,1,0,0.000000,0.000000
BUY,M30,EMAOrder,BE,[MISSING],282,281,1,1,0.354610,
BUY,M30,EMAOrder,OTHER_NONSTOP,E100>E200>E20>E50,1,1,0,0,0.000000,0.000000
BUY,M30,EMAOrder,OTHER_NONSTOP,E100>E200>E50>E20,1,1,0,0,0.000000,0.000000
BUY,M30,EMAOrder,OTHER_NONSTOP,E100>E20>E200>E50,1,1,0,0,0.000000,0.000000
BUY,M30,EMAOrder,OTHER_NONSTOP,E100>E20>E50>E200,1,1,0,0,0.000000,0.000000
BUY,M30,EMAOrder,OTHER_NONSTOP,E100>E50>E200>E20,1,1,0,0,0.000000,0.000000
BUY,M30,EMAOrder,OTHER_NONSTOP,E100>E50>E20>E200,1,1,0,0,0.000000,0.000000
BUY,M30,EMAOrder,OTHER_NONSTOP,E200>E100>E20>E50,1,1,0,0,0.000000,0.000000
BUY,M30,EMAOrder,OTHER_NONSTOP,E200>E100>E50>E20,1,1,0,0,0.000000,0.000000
BUY,M30,EMAOrder,OTHER_NONSTOP,E200>E20>E100>E50,1,1,0,0,0.000000,0.000000
BUY,M30,EMAOrder,OTHER_NONSTOP,E200>E20>E50>E100,1,1,0,0,0.000000,0.000000
BUY,M30,EMAOrder,OTHER_NONSTOP,E200>E50>E100>E20,1,1,0,0,0.000000,0.000000
BUY,M30,EMAOrder,OTHER_NONSTOP,E200>E50>E20>E100,1,1,0,0,0.000000,0.000000
BUY,M30,EMAOrder,OTHER_NONSTOP,E20>E100>E200>E50,1,1,0,0,0.000000,0.000000
BUY,M30,EMAOrder,OTHER_NONSTOP,E20>E100>E50>E200,1,1,0,0,0.000000,0.000000
