sep=,
Group,Side,TF,Indicator,N,Mean,Median,Q25,Q75,Min,Max
ALL,SELL,M30,EMA200_DIST_POINTS,32,335.763616,207.293236,78.921346,478.541231,6.069723,1112.392815
ALL,SELL,M30,EMA200_DIST_ATR,32,-1.553459,-0.636253,-2.661485,0.224527,-12.147342,2.340496
ALL,SELL,H1,RSI,32,45.701309,45.377160,39.765173,49.314676,28.013659,62.846323
ALL,SELL,H1,ADX,32,23.208994,20.447395,17.898755,25.996020,15.554754,47.493545
ALL,SELL,H1,CCI,32,-8.244356,-19.244028,-69.974679,24.823365,-152.520167,232.654038
ALL,SELL,H1,DI_PLUS,32,17.482850,16.207648,13.023462,21.036205,6.269614,34.161556
ALL,SELL,H1,DI_MINUS,32,17.320451,17.329152,14.342370,20.543275,7.965491,27.722125
ALL,SELL,H1,DI_GAP,32,7.292708,5.570498,3.147350,10.571013,0.211591,21.181791
ALL,SELL,H1,ATR,32,2.781867,2.411000,1.978812,3.301750,1.414750,5.196250
ALL,SELL,H1,ATR_PCT_PRICE,32,0.219030,0.194175,0.159366,0.255670,0.113856,0.407427
ALL,SELL,H1,EMA200_DIST_POINTS,32,608.036663,673.443653,218.224500,899.987366,20.304903,1311.591092
ALL,SELL,H1,EMA200_DIST_ATR,32,0.964265,1.182774,-0.710483,2.777546,-7.038708,5.325871
ALL,SELL,H4,RSI,10,49.648665,50.373720,49.219088,50.622791,43.281995,52.286488
ALL,SELL,H4,ADX,10,22.416549,25.273976,14.435254,29.014178,13.766711,29.049866
ALL,SELL,H4,CCI,10,-91.329170,-94.085477,-131.415260,-57.362093,-143.526081,-20.834155
ALL,SELL,H4,DI_PLUS,10,14.735229,13.054720,12.920568,16.453540,12.460062,19.786073
ALL,SELL,H4,DI_MINUS,10,22.700175,24.326545,18.917441,27.910795,13.235291,28.508363
ALL,SELL,H4,DI_GAP,10,9.202933,10.033242,4.758970,14.956688,0.776151,15.587794
ALL,SELL,H4,ATR,10,5.701150,5.690875,5.452438,5.796188,4.095000,7.821750
ALL,SELL,H4,ATR_PCT_PRICE,10,0.431324,0.433000,0.413264,0.441005,0.307771,0.588216
ALL,SELL,H4,EMA200_DIST_POINTS,10,4461.258376,4534.438921,4475.661777,4615.365994,3712.521758,4692.763212
ALL,SELL,H4,EMA200_DIST_ATR,10,8.034684,8.073707,7.054061,8.290033,5.915671,10.505046
SETUP_STEP5,ALL,M1,RSI,10,28.258386,25.499469,21.253406,32.840105,13.774488,57.253524
SETUP_STEP5,ALL,M1,ADX,10,36.545825,37.128108,31.211241,46.334494,14.706375,55.715444
SETUP_STEP5,ALL,M1,CCI,10,-140.313696,-161.046884,-214.139487,-126.667532,-273.570196,158.295523
SETUP_STEP5,ALL,M1,DI_PLUS,10,12.983323,9.780024,6.403630,19.367012,4.588612,25.161430
SETUP_STEP5,ALL,M1,DI_MINUS,10,34.229871,36.833558,25.701611,44.367913,15.593917,48.599893
SETUP_STEP5,ALL,M1,DI_GAP,10,24.534316,28.037809,11.690965,36.487781,7.037400,40.211933
SETUP_STEP5,ALL,M1,ATR,10,0.422600,0.325125,0.216062,0.492312,0.188000,1.063000
SETUP_STEP5,ALL,M1,ATR_PCT_PRICE,10,0.032611,0.025152,0.017052,0.037222,0.014903,0.080879
SETUP_STEP5,ALL,M1,EMA200_DIST_POINTS,10,290.407404,311.296070,205.013948,405.128574,31.416256,518.325723
SETUP_STEP5,ALL,M1,EMA200_DIST_ATR,10,-6.965380,-7.211267,-10.493202,-4.665144,-14.870882,2.986732
SETUP_STEP5,ALL,M5,RSI,10,31.262539,28.434361,23.516117,34.891399,19.459398,52.054520
SETUP_STEP5,ALL,M5,ADX,10,36.180331,36.030826,29.773117,41.371401,26.664317,46.710293
SETUP_STEP5,ALL,M5,CCI,10,-173.403028,-168.138447,-191.693136,-139.025781,-321.929751,-37.408235
SETUP_STEP5,ALL,M5,DI_PLUS,10,10.392445,10.653787,7.535645,12.319487,5.308094,15.195525
SETUP_STEP5,ALL,M5,DI_MINUS,10,33.495819,32.873981,28.543246,38.536573,21.936368,43.963998
SETUP_STEP5,ALL,M5,DI_GAP,10,23.103374,25.141855,15.428438,27.052959,6.740843,36.946845
SETUP_STEP5,ALL,M5,ATR,10,1.011550,1.140625,0.679000,1.365500,0.419750,1.439750
SETUP_STEP5,ALL,M5,ATR_PCT_PRICE,10,0.077832,0.086283,0.053788,0.104487,0.033145,0.108784
SETUP_STEP5,ALL,M5,EMA200_DIST_POINTS,10,365.328276,399.520996,156.271451,499.268383,28.591303,765.626669
